Bureau of Justice Statistics,,,
Filename: rprts05p0510f01,,,
"Figure 1. Recidivism of prisoners released in 30 states in 2005, by time from release to first arrest that led to recidivating event",,,
Report title: Recidivism of Prisoners Released in 30 States in 2005: Patterns from 2005 to 2010,,,
"Data source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection",,,
"Authors: Matthew R. Durose, Alexia D. Cooper, Ph.D., and Howard N. Snyder, Ph.D",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of release: 04/22/14,,,
,,,
"Figure 1. Recidivism of prisoners released in 30 states in 2005, by time from release to first arrest that led to recidivating event",,,
,,,
,,,
Percent who recidivated,,,
Time to rearrest (in months),All releases,Conviction,Return to prison
0,0,0,0
1,7.963,2.41,2.31
2,12.243,4.39,4.93
3,16.686,6.56,8.27
4,20.827,8.81,11.47
5,24.858,11.08,14.79
6,28.206,12.96,17.64
7,31.453,14.91,20.19
8,34.338,16.78,22.45
9,36.91,18.51,24.87
10,39.234,20.03,26.78
11,41.275,21.54,28.59
12,43.398,22.96,30.41
13,45.33,24.29,32.14
14,47.099,25.59,33.58
15,48.702,26.82,34.84
16,50.227,28.11,36.1
17,51.521,29.2,37.23
18,52.959,30.44,38.35
19,54.153,31.48,39.28
20,55.365,32.41,40.09
21,56.497,33.39,40.92
22,57.514,34.37,41.69
23,58.562,35.45,42.48
24,59.549,36.33,43.28
25,60.383,37.26,44.03
26,61.22,38.12,44.6
27,62.098,38.94,45.3
28,62.912,39.84,45.88
29,63.687,40.61,46.42
30,64.307,41.35,46.94
31,64.966,42.04,47.45
32,65.617,42.75,47.94
33,66.198,43.33,48.36
34,66.768,43.95,48.78
35,67.281,44.58,49.21
36,67.8,45.19,49.66
37,68.32,45.75,50.04
38,68.877,46.35,50.37
39,69.32,46.9,50.69
40,69.806,47.44,50.96
41,70.201,47.88,51.21
42,70.622,48.39,51.49
43,71.069,48.96,51.73
44,71.494,49.45,51.94
45,71.882,49.99,52.2
46,72.32,50.47,52.42
47,72.651,50.91,52.63
48,73.016,51.26,52.88
49,73.346,51.61,53.07
50,73.63,51.97,53.3
51,73.946,52.35,53.5
52,74.338,52.74,53.71
53,74.683,53.12,53.94
54,74.959,53.48,54.1
55,75.271,53.84,54.25
56,75.557,54.18,54.43
57,75.837,54.46,54.65
58,76.067,54.72,54.79
59,76.339,55.06,54.95
60,76.6,55.35,55.11
Note: Prisoners were tracked for 5 years following release in 30 states. Some states were excluded from the specific measures of recidivism. See Methodology.,,,
a/Based on time from release to first arrest among inmates released in 30 states. ,,,
b/Based on time from release to first arrest that led to a prison sentence or first prison admission for a technical violation without a new sentence among inmates released in 23 states. ,,,
c/Based on time from release to first arrest that led to a conviction among inmates released in 29 states.,,,
"Source: Bureau of Justice Statistics, Recidivism of State Prisoners Released in 2005 data collection.",,,
